ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10000,82,64.55,3,5293.1,2020-09-30,114,Cancelled,Ships,73.65,S858-9935,Customer_179,+76-532-1520,489 Main Street,Toronto,38657,Germany,LastName_1035,FirstName_1233,Small
10001,72,107.43,5,7734.96,2022-09-15,112,In Process,Planes,130.13,S990-1106,Customer_1555,+21-814-7924,5575 Main Street,Paris,30379,Germany,LastName_1961,FirstName_1564,Medium
10002,14,55.45,1,776.3,2022-01-10,176,Resolved,Trucks and Buses,78.9,S847-8527,Customer_1099,+16-487-2291,9045 Main Street,Paris,92397,Japan,LastName_1814,FirstName_1765,Medium
10003,74,104.22,1,7712.28,2018-07-07,338,Cancelled,Trains,126.71,S181-4814,Customer_1775,+13-489-5554,7429 Main Street,Sydney,31319,Australia,LastName_728,FirstName_430,Large
10004,35,353.89,1,12386.15,2024-10-31,325,Cancelled,Planes,492.49,S267-8573,Customer_778,+35-755-4598,5314 Main Street,New York,40021,USA,LastName_1649,FirstName_647,Medium
10005,35,42.43,5,1485.05,2021-07-12,108,Disputed,Vintage Cars,53.39,S758-8517,Customer_293,+34-242-5040,9198 Main Street,Amsterdam,44438,Japan,LastName_878,FirstName_1839,Large
10006,52,187.38,2,9743.76,2023-09-19,252,Shipped,Trains,209.65,S212-3504,Customer_1286,+21-911-7916,9772 Main Street,Toronto,60432,Italy,LastName_1221,FirstName_959,Large
10007,33,485.83,1,16032.39,2025-08-18,58,Disputed,Planes,680.33,S887-6573,Customer_229,+38-545-3591,7434 Main Street,New York,44522,Netherlands,LastName_1561,FirstName_366,Large
10008,14,436.55,3,6111.7,2025-03-02,259,Resolved,Classic Cars,506.89,S880-3646,Customer_1105,+68-100-6310,8006 Main Street,New York,24662,Australia,LastName_1800,FirstName_1704,Medium
10009,31,38.38,5,1189.78,2018-11-19,43,Disputed,Vintage Cars,54.75,S878-9727,Customer_1569,+17-231-8787,9008 Main Street,London,44741,Netherlands,LastName_1787,FirstName_1243,Medium
10010,28,465.17,2,13024.76,2025-12-30,159,In Process,Ships,632.61,S548-9479,Customer_925,+16-353-4681,1050 Main Street,Sydney,12757,Japan,LastName_1135,FirstName_472,Large
10011,29,13.52,1,392.08,2020-07-26,34,Shipped,Trains,16.66,S626-4899,Customer_571,+86-597-4510,8835 Main Street,London,84847,Japan,LastName_969,FirstName_498,Medium
10012,53,103.3,1,5474.9,2025-05-23,220,On Hold,Vintage Cars,130.62,S984-1887,Customer_1380,+84-761-2612,994 Main Street,Rome,54473,Canada,LastName_510,FirstName_393,Small
10013,69,229.82,4,15857.58,2020-01-22,142,In Process,Classic Cars,333.19,S177-8260,Customer_1655,+71-200-1828,8857 Main Street,New York,22224,Germany,LastName_341,FirstName_833,Medium
10014,62,114.74,4,7113.88,2018-08-29,84,In Process,Motorcycles,171.44,S371-8454,Customer_585,+55-813-8973,2537 Main Street,Berlin,48890,Germany,LastName_1984,FirstName_120,Large
